"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "TypeScript JSX", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 12
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\droid\droid_sans_bold.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\droid\droid_sans_mono_regular.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\droid\droid_sans_regular.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\droid\droid_serif_bold.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\droid\droid_serif_regular.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\gentilis_bold.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\gentilis_regular.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\helvetiker_bold.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\NINGMEI\Desktop\acg_project2\demo\assets\fonts\helvetiker_regular.typeface.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
